Product Name,Product URL,Product Price,Product Discount
HP 14q APU Dual Core A9 - (4 GB/256 GB SSD/Windows 10 Home) 14q-cy0006AU Thin and Light Laptop,/hp-14q-apu-dual-core-a9-4-gb-256-gb-ssd-windows-10-home-14q-cy0006au-thin-light-laptop/p/itm8b70f6c494cf9?pid=COMFHZ4Y59GBFZNG&srno=s_1_1&otracker=search&otracker1=search&lid=LSTCOMFHZ4Y59GBFZNG2TP2Q1&fm=organic&iid=ae806467-90b9-424b-81dd-9d7e6ad6cc16.COMFHZ4Y59GBFZNG.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹19,990",27% off
HP 15 Pentium Gold - (4 GB/1 TB HDD/Windows 10 Home) 15-da0389TU Laptop,/hp-15-pentium-gold-4-gb-1-tb-hdd-windows-10-home-15-da0389tu-laptop/p/itmfhuzwqk5fd4gs?pid=COMFHUZWGAFZNA2C&srno=s_1_2&otracker=search&otracker1=search&lid=LSTCOMFHUZWGAFZNA2CQOBROW&fm=organic&iid=8ab34345-9acf-4ea1-a8cc-c3bd619e817a.COMFHUZWGAFZNA2C.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹20,990",16% off
HP 14q APU Dual Core A4 - (4 GB/256 GB SSD/Windows 10 Home) 14q-cy0005AU Thin and Light Laptop,/hp-14q-apu-dual-core-a4-4-gb-256-gb-ssd-windows-10-home-14q-cy0005au-thin-light-laptop/p/itm55e48240dc240?pid=COMFHZ4YGSWQBTH4&srno=s_1_3&otracker=search&otracker1=search&lid=LSTCOMFHZ4YGSWQBTH4YSEJ6W&fm=organic&iid=e23baa67-08dc-46a1-bc35-0d25deb2d8cd.COMFHZ4YGSWQBTH4.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹18,990",17% off
HP 15q APU Dual Core A6 - (4 GB/1 TB HDD/Windows 10 Home) 15q-dy0006AU Laptop,/hp-15q-apu-dual-core-a6-4-gb-1-tb-hdd-windows-10-home-15q-dy0006au-laptop/p/itmfc62yymvnpywz?pid=COMFC62YWXGQKFQF&srno=s_1_4&otracker=search&otracker1=search&lid=LSTCOMFC62YWXGQKFQFVNZKIB&fm=organic&iid=a30225f9-bb3e-422f-bdaa-d26eb6a31c50.COMFC62YWXGQKFQF.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹21,990",23% off
HP APU Dual Core A6 - (4 GB/1 TB HDD/DOS) 245 G7 Laptop,/hp-apu-dual-core-a6-4-gb-1-tb-hdd-dos-245-g7-laptop/p/itmfgyjcyj4thej6?pid=COMFJ2FGENRESHFZ&srno=s_1_5&otracker=search&otracker1=search&lid=LSTCOMFJ2FGENRESHFZYUEPHH&fm=organic&iid=e05b963d-99e5-4879-add7-e76c1a371b97.COMFJ2FGENRESHFZ.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹21,200",11% off
HP Chromebook Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14-ca003TU Laptop,/hp-chromebook-celeron-dual-core-4-gb-64-gb-emmc-storage-chrome-os-14-ca003tu-laptop/p/itm6a23f4e438485?pid=COMFJGZNKWUNZFYF&srno=s_1_6&otracker=search&otracker1=search&lid=LSTCOMFJGZNKWUNZFYFQGSIZM&fm=organic&iid=f3b041d5-5167-4867-a324-5a3552822711.COMFJGZNKWUNZFYF.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹22,990",14% off
HP G7 APU Dual Core A6 7th Gen - (4 GB/1 TB HDD/DOS) 245 G7 Laptop,/hp-g7-apu-dual-core-a6-7th-gen-4-gb-1-tb-hdd-dos-245-laptop/p/itmfgyjcyj4thej6?pid=COMFGYJC2WMD3KGW&srno=s_1_7&otracker=search&otracker1=search&lid=LSTCOMFGYJC2WMD3KGWVCSIPE&fm=organic&iid=85880163-2f56-4330-b6c9-8f12b818b64d.COMFGYJC2WMD3KGW.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹18,990",18% off
HP G6 Celeron Dual Core - (4 GB/1 TB HDD/DOS) 250-G6 Laptop,/hp-g6-celeron-dual-core-4-gb-1-tb-hdd-dos-250-g6-laptop/p/itmffa8ssenfffgn?pid=COMFFA8S9X7GPR8T&srno=s_1_8&otracker=search&otracker1=search&lid=LSTCOMFFA8S9X7GPR8TFYLR2D&fm=organic&iid=62d0efe9-82a8-48d0-89cc-7b28850305dc.COMFFA8S9X7GPR8T.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹20,390",11% off
HP 15q Pentium Gold - (4 GB/1 TB HDD/Windows 10 Home) 15q-ds0041TU Laptop,/hp-15q-pentium-gold-4-gb-1-tb-hdd-windows-10-home-15q-ds0041tu-laptop/p/itmfgqs2gky4zmys?pid=COMFGQS2G2ZA3ZUG&srno=s_1_9&otracker=search&otracker1=search&lid=LSTCOMFGQS2G2ZA3ZUG9IC9QD&fm=organic&iid=0c7fb607-5f1b-43eb-99be-359ac962c9b4.COMFGQS2G2ZA3ZUG.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹23,990",23% off
HP G6 APU Dual Core A9 - (4 GB/1 TB HDD/DOS) 245-G6 Laptop,/hp-g6-apu-dual-core-a9-4-gb-1-tb-hdd-dos-245-g6-laptop/p/itmfdcagkzjyrxhw?pid=COMFFA8SGBBQPFJY&srno=s_1_10&otracker=search&otracker1=search&lid=LSTCOMFFA8SGBBQPFJYMJFDGI&fm=organic&iid=4d30a669-ead5-4c15-afb2-d1b94adfb10e.COMFFA8SGBBQPFJY.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹19,490",22% off
